"","Date","barcode","longitude","latitude","site","siteLabel","plot_num","treatment","treatmentLabel","exclosure","exclosureLabel","paired","pairedLabel","number","plot","cluster","factorial","vwc","vwc_med","period","period_med","veg_type","veg_type_med","veg_level","veg_level_med","soil_temp","soil_temp_med","plotBC","clusterBC","season","seasonYear","MoYear","year","month","hour","minute","time","CT1","CT2","CT3","CT4","Ct_detects","positive"
"40","2021-04-20 14:46:00","AC08PN11",-119.7311212,35.11667308,0,"C",8,1,"P",1,"N",1,1,NA,"C08","C08PN1","PN",3.1,3.1,1.12,1.12,1,1,1,2,89,86,"C08","C08PN1","Spring","Spring_2021","2021-04",2021,4,14,46,14.7666666666667,NA,NA,NA,NA,0,0
"41","2021-04-21 08:25:00","AS06PN11",-119.6600529,35.08097156,1,"S",6,1,"P",1,"N",1,1,NA,"S06","S06PN1","PN",NA,NA,NA,NA,1,1,1,1,59,59,"S06","S06PN1","Spring","Spring_2021","2021-04",2021,4,8,25,8.41666666666667,NA,NA,NA,NA,0,0
"42","2021-04-21 08:36:00","AS06SN11",-119.6600839,35.08096151,1,"S",6,0,"S",1,"N",1,1,NA,"S06","S06SN1","SN",NA,NA,NA,NA,1,1,1,1,62,60,"S06","S06SN1","Spring","Spring_2021","2021-04",2021,4,8,36,8.6,NA,NA,NA,NA,0,0
"43","2021-04-21 08:46:00","AS06PN21",-119.6591804,35.08146128,1,"S",6,1,"P",1,"N",0,2,NA,"S06","S06PN2","PN",NA,NA,NA,NA,1,0,1,0,57,60,"S06","S06PN2","Spring","Spring_2021","2021-04",2021,4,8,46,8.76666666666667,34.91,34.82,34.95,37.28,4,1
"44","2021-04-21 08:57:00","AS06PE11",-119.6595725,35.0814153,1,"S",6,1,"P",0,"E",1,1,NA,"S06","S06PE1","PE",NA,NA,NA,NA,0,0,0,0,62,61,"S06","S06PE1","Spring","Spring_2021","2021-04",2021,4,8,57,8.95,33.31,33.86,34.48,34.23,4,1
"45","2021-04-21 09:06:00","AS06SE11",-119.659586,35.08134149,1,"S",6,0,"S",0,"E",1,1,NA,"S06","S06SE1","SE",NA,NA,NA,NA,1,1,1,1,63,69,"S06","S06SE1","Spring","Spring_2021","2021-04",2021,4,9,6,9.1,NA,NA,NA,NA,0,0
"46","2021-04-21 10:04:00","AC02SN11",-119.7284223,35.1303838,0,"C",2,1,"P",1,"N",1,1,NA,"C02","C02PN1","PN",NA,NA,NA,NA,1,1,2,2,62,62,"C02","C02SN1","Spring","Spring_2021","2021-04",2021,4,10,4,10.0666666666667,NA,NA,NA,NA,0,0
"47","2021-04-21 10:21:00","AC02PN11",-119.72299,35.13051497,0,"C",2,0,"S",1,"N",1,1,NA,"C02","C02SN1","SN",NA,NA,NA,NA,1,0,1,0,68,66,"C02","C02PN1","Spring","Spring_2021","2021-04",2021,4,10,21,10.35,NA,NA,NA,NA,0,0
"48","2021-04-21 10:41:00","AC02SE11",-119.7226716,35.13090319,0,"C",2,0,"S",0,"E",1,1,NA,"C02","C02SE1","SE",NA,NA,NA,NA,1,1,2,2,69,70,"C02","C02SE1","Spring","Spring_2021","2021-04",2021,4,10,41,10.6833333333333,NA,NA,NA,NA,0,0
"49","2021-04-21 11:38:00","AC04PN21",-119.7234979,35.1287003,0,"C",4,1,"P",1,"N",0,2,NA,"C04","C04PN2","PN",NA,NA,NA,NA,1,0,1,0,72,68,"C04","C04PN2","Spring","Spring_2021","2021-04",2021,4,11,38,11.6333333333333,38.72,36.74,37.78,36.8,4,1
"50","2021-04-21 11:54:00","AC04PE11",-119.7249263,35.12218561,0,"C",4,1,"P",0,"E",1,1,NA,"C04","C04PE1","PE",NA,NA,NA,NA,1,1,3,3,74,70.5,"C04","C04PE1","Spring","Spring_2021","2021-04",2021,4,11,54,11.9,NA,NA,NA,NA,0,0
"51","2021-04-21 12:14:00","AC04SE11",-119.724714,35.1218074,0,"C",4,0,"S",0,"E",1,1,NA,"C04","C04SE1","SE",NA,NA,NA,NA,1,1,3,3,78,75,"C04","C04SE1","Spring","Spring_2021","2021-04",2021,4,12,14,12.2333333333333,NA,NA,NA,NA,0,0
"52","2021-04-21 13:14:00","AC10PN21",-119.7010585,35.11408145,0,"C",10,1,"P",1,"N",0,2,NA,"C10","C10PN2","PN",NA,NA,NA,NA,1,0,1,0,82,82,"C10","C10PN2","Spring","Spring_2021","2021-04",2021,4,13,14,13.2333333333333,NA,NA,NA,NA,0,0
"53","2021-04-21 13:45:00","AC10PE11",-119.701476,35.11423216,0,"C",10,1,"P",0,"E",1,1,NA,"C10","C10PE1","PE",NA,NA,NA,NA,0,0,0,0,70,72,"C10","C10PE1","Spring","Spring_2021","2021-04",2021,4,13,45,13.75,NA,NA,NA,NA,0,0
"54","2021-04-21 13:54:00","AC10SE11",-119.7014153,35.11426241,0,"C",10,0,"S",0,"E",1,1,NA,"C10","C10SE1","SE",NA,NA,NA,NA,1,0,2,0,73,85,"C10","C10SE1","Spring","Spring_2021","2021-04",2021,4,13,54,13.9,NA,NA,NA,NA,0,0
